Duration Bucket,trades,net_pnl_usdt,gross_profit_usdt,gross_loss_usdt,profit_factor,win_rate_pct,avg_trade_usdt,median_trade_usdt,best_trade_usdt,worst_trade_usdt
<1h,23.0,-59.52,3.8,-63.32000000000001,0.0600126342387871,4.3478260869565215,-2.5878260869565217,-0.54,3.8,-10.33
1-6h,188.0,-149.90800000000002,113.815,-263.723,0.43157024605362443,32.4468085106383,-0.7973829787234044,-0.28,13.12,-11.07
6-24h,251.0,258.14799999999997,434.70000000000005,-176.552,2.46216412161856,44.223107569721115,1.0284780876494022,-0.03,57.2,-9.98
1-3d,62.0,498.5399999999999,504.75999999999993,-6.220000000000001,81.15112540192924,83.87096774193549,8.040967741935482,1.125,60.9,-2.66
