Entry Signal,trades,net_pnl_usdt,gross_profit_usdt,gross_loss_usdt,profit_factor,win_rate_pct,avg_trade_usdt,median_trade_usdt,best_trade_usdt,worst_trade_usdt
LongCore,182.0,11.218,29.854999999999993,-18.637,1.6019209100177063,43.40659340659341,0.061637362637362636,-0.02,1.49,-0.58
LongRunner,182.0,364.66999999999996,718.68,-354.00999999999993,2.030112143724754,43.40659340659341,2.0036813186813185,-0.355,60.9,-11.07
ShortCore,80.0,84.298,163.68,-79.382,2.061928396865788,42.5,1.053725,-0.07,13.12,-7.99
ShortRunner,80.0,87.07400000000003,144.86,-57.786,2.506835565707957,41.25,1.0884250000000004,-0.08,38.27,-5.79
