Exit Signal,trades,net_pnl_usdt,gross_profit_usdt,gross_loss_usdt,profit_factor,win_rate_pct,avg_trade_usdt,median_trade_usdt,best_trade_usdt,worst_trade_usdt
Core Exit,44.0,130.01,155.39999999999998,-25.39,6.120519889720361,63.63636363636363,2.954772727272727,2.51,13.12,-7.99
Early Invalid,40.0,-84.96000000000001,0.0,-84.96000000000001,0.0,0.0,-2.124,-1.31,-0.04,-9.59
Fail Fast,28.0,-24.09,0.0,-24.09,0.0,0.0,-0.8603571428571428,-0.175,-0.01,-3.49
Long Core Exit,129.0,13.518,26.365,-12.847,2.052230092628629,53.48837209302325,0.1047906976744186,0.02,1.49,-0.58
Long Runner Exit,126.0,274.47,518.64,-244.16999999999996,2.124093869025679,52.38095238095239,2.1783333333333337,0.205,60.9,-11.07
Protect Exit,10.0,33.08,33.08,0.0,inf,100.0,3.308,2.525,10.74,0.16
Runner Exit,39.0,61.955000000000005,80.44,-18.485,4.351636461996213,56.41025641025641,1.5885897435897438,0.04,27.02,-5.79
Time Exit,23.0,239.70000000000002,239.70000000000002,0.0,inf,100.0,10.421739130434784,1.08,59.57,0.04
Trend Exit,85.0,-96.42299999999999,3.4499999999999997,-99.87299999999999,0.034543870715809076,8.235294117647058,-1.1343882352941175,-0.89,1.17,-7.5
