year,period_start,period_end,is_partial_period,trade_count,winners,losers,scratch,win_rate_pct,yearly_net_pnl_usdt,yearly_return_pct,starting_equity_usdt,ending_equity_usdt,cumulative_return_pct,gross_profit_usdt,gross_loss_usdt,profit_factor,rounded_trade_net_pnl_sum_usdt,attribution_label
2020,2020-01-01,2020-12-31,false,52,22,30,0,42.30769231,712.45,71.245,1000,1712.45,71.245,1001.64,289.17,3.463844797,712.47,period attribution from the full exported trade list; not true walk-forward recomputation
2021,2021-01-01,2021-12-31,false,90,32,58,0,35.55555556,213.53,12.46926918,1712.45,1925.98,92.598,839.61,626.05,1.341122914,213.56,period attribution from the full exported trade list; not true walk-forward recomputation
2022,2022-01-01,2022-12-31,false,102,39,63,0,38.23529412,75.8,3.93565873,1925.98,2001.78,100.178,727.82,652.07,1.11616851,75.75,period attribution from the full exported trade list; not true walk-forward recomputation
2023,2023-01-01,2023-12-31,false,66,36,30,0,54.54545455,1069.92,53.4484309,2001.78,3071.7,207.17,1717.43,647.49,2.652442509,1069.94,period attribution from the full exported trade list; not true walk-forward recomputation
2024,2024-01-01,2024-12-31,false,84,38,46,0,45.23809524,442.26,14.39789042,3071.7,3513.96,251.396,1475.19,1032.95,1.428133017,442.24,period attribution from the full exported trade list; not true walk-forward recomputation
2025,2025-01-01,2025-12-31,false,66,34,32,0,51.51515152,2187.52,62.25227379,3513.96,5701.48,470.148,3018.5,830.95,3.632589205,2187.55,period attribution from the full exported trade list; not true walk-forward recomputation
2026,2026-01-01,2026-06-14,true,50,22,28,0,44,1537.59,26.96826087,5701.48,7239.07,623.907,2392.63,855.02,2.798332203,1537.61,period attribution from the full exported trade list; not true walk-forward recomputation
