simulation_id,max_drawdown_pct,max_drawdown_usdt,max_losing_streak,final_equity_usdt,final_net_pnl_usdt
133,12.72016323,349.66,12,7239.12,6239.12
134,13.05877066,470.07,9,7239.12,6239.12
135,13.29968825,565.27,10,7239.12,6239.12
136,16.45295806,482.26,7,7239.12,6239.12
137,33.95856081,522.5,8,7239.12,6239.12
138,17.53893391,649.52,9,7239.12,6239.12
139,17.52451739,564.87,13,7239.12,6239.12
140,11.1189798,428.63,12,7239.12,6239.12
141,11.10990443,448.67,9,7239.12,6239.12
142,23.71667485,488.12,12,7239.12,6239.12
143,15.81633477,403.72,10,7239.12,6239.12
144,15.36897864,414.32,12,7239.12,6239.12
145,22.63468266,356.14,14,7239.12,6239.12
146,13.39069214,338.45,10,7239.12,6239.12
147,22.58726537,384.11,7,7239.12,6239.12
148,15.01538462,381,8,7239.12,6239.12
149,21.13958446,313.84,8,7239.12,6239.12
150,30.84049988,335.01,9,7239.12,6239.12
151,48.92895801,515.31,8,7239.12,6239.12
152,24.39699623,493.5,9,7239.12,6239.12
153,20.65352746,364.1,7,7239.12,6239.12
154,36.676,366.76,12,7239.12,6239.12
155,15.00029838,318.92,9,7239.12,6239.12
156,17.10982118,411.19,7,7239.12,6239.12
157,8.72384102,493.82,9,7239.12,6239.12
158,21.56686633,746.77,6,7239.12,6239.12
159,15.84119046,621.48,9,7239.12,6239.12
160,18.19988653,529.28,8,7239.12,6239.12
161,32.2485075,442.56,9,7239.12,6239.12
162,9.6369689,325.53,9,7239.12,6239.12
163,21.11607771,536.22,9,7239.12,6239.12
164,14.16826589,764.13,9,7239.12,6239.12
165,12.51882659,615.52,11,7239.12,6239.12
166,36.09071564,376.52,8,7239.12,6239.12
167,15.19771726,552.32,14,7239.12,6239.12
168,59.828,598.28,13,7239.12,6239.12
169,17.02523764,432.86,8,7239.12,6239.12
170,27.21001345,359.01,11,7239.12,6239.12
171,13.01731788,582.24,9,7239.12,6239.12
172,7.06330679,306.62,14,7239.12,6239.12
173,23.48406233,558.97,11,7239.12,6239.12
174,21.26183575,302.72,8,7239.12,6239.12
175,31.67879418,499.79,10,7239.12,6239.12
176,9.116973877,597.49,11,7239.12,6239.12
177,10.09469949,393.77,9,7239.12,6239.12
178,10.92439162,320.23,10,7239.12,6239.12
179,15.13348125,467.9,11,7239.12,6239.12
180,16.61874375,324.24,8,7239.12,6239.12
181,69.377,693.77,9,7239.12,6239.12
182,15.60024708,257.61,7,7239.12,6239.12
183,22.775,517.63,8,7239.12,6239.12
184,10.94315631,314.99,9,7239.12,6239.12
185,16.07946977,412.68,8,7239.12,6239.12
186,14.58200198,591.79,12,7239.12,6239.12
187,8.61271112,487.41,11,7239.12,6239.12
188,22.53313492,449.87,8,7239.12,6239.12
189,16.99751748,407.38,9,7239.12,6239.12
190,17.00545864,361.67,9,7239.12,6239.12
191,26.432,409.47,8,7239.12,6239.12
192,5.601951803,281.73,10,7239.12,6239.12
193,18.18429459,536.46,8,7239.12,6239.12
194,11.17578003,360.8,10,7239.12,6239.12
195,12.14331172,414.15,15,7239.12,6239.12
196,17.91978246,434.94,9,7239.12,6239.12
197,18.08654152,324.04,10,7239.12,6239.12
198,32.53377201,401.47,8,7239.12,6239.12
199,23.25230806,621.59,10,7239.12,6239.12
200,12.618,469.92,10,7239.12,6239.12
201,11.82712559,616.61,10,7239.12,6239.12
202,11.38282976,507.5,11,7239.12,6239.12
203,28.959,493.24,11,7239.12,6239.12
204,14.15047019,536,9,7239.12,6239.12
205,32.17459488,420.2,8,7239.12,6239.12
206,46.384,463.84,10,7239.12,6239.12
207,9.475552449,494.65,11,7239.12,6239.12
208,9.187767208,460.32,8,7239.12,6239.12
209,39.80883037,496.44,9,7239.12,6239.12
210,15.14962305,317.51,8,7239.12,6239.12
211,25.85443384,448.97,9,7239.12,6239.12
212,38.53569228,444.12,10,7239.12,6239.12
213,14.30557763,343.99,10,7239.12,6239.12
214,30.94454116,342.82,8,7239.12,6239.12
215,21.831,333.56,9,7239.12,6239.12
216,22.41005084,336.17,12,7239.12,6239.12
217,22.324,277.81,9,7239.12,6239.12
218,11.0129582,291.85,15,7239.12,6239.12
219,20.50076206,395.63,10,7239.12,6239.12
220,8.535695154,597.52,14,7239.12,6239.12
221,13.55489619,338.97,8,7239.12,6239.12
222,20.37105838,919.02,13,7239.12,6239.12
223,25.71300464,332.73,8,7239.12,6239.12
224,19.34956109,329.1,10,7239.12,6239.12
225,14.47150777,433.07,11,7239.12,6239.12
226,25.0634349,460.84,11,7239.12,6239.12
227,14.60461888,356.12,8,7239.12,6239.12
228,13.79282397,479.36,13,7239.12,6239.12
229,15.26157328,739.06,14,7239.12,6239.12
230,17.06522222,413.41,7,7239.12,6239.12
231,14.43564523,469.85,8,7239.12,6239.12
232,14.43971027,320.11,9,7239.12,6239.12
233,20.35422552,471.79,11,7239.12,6239.12
234,26.76037248,557.89,12,7239.12,6239.12
235,13.5725043,510.09,10,7239.12,6239.12
236,29.37656937,354.63,9,7239.12,6239.12
237,14.12199891,433.41,9,7239.12,6239.12
238,17.538,378.31,7,7239.12,6239.12
239,10.47333304,653.47,9,7239.12,6239.12
240,18.96817553,335.86,9,7239.12,6239.12
241,17.94910571,592.31,15,7239.12,6239.12
242,51.03158218,731.65,13,7239.12,6239.12
243,13.88313928,357,7,7239.12,6239.12
244,23.92248638,378.43,7,7239.12,6239.12
245,15.42977434,375.23,10,7239.12,6239.12
246,32.91314053,409.92,10,7239.12,6239.12
247,29.62069743,430.7,8,7239.12,6239.12
248,10.00244123,399.77,9,7239.12,6239.12
249,10.644,454.61,8,7239.12,6239.12
250,20.33343111,455.99,12,7239.12,6239.12
251,18.964,344.28,12,7239.12,6239.12
252,20.03109886,470.78,10,7239.12,6239.12
253,19.7931885,472.47,14,7239.12,6239.12
254,18.06044174,378.35,15,7239.12,6239.12
255,12.836,413.11,8,7239.12,6239.12
256,16.31263511,382.77,10,7239.12,6239.12
257,31.91341751,483,7,7239.12,6239.12
258,18.75538807,534.25,11,7239.12,6239.12
259,16.54036397,296.27,8,7239.12,6239.12
260,17.58868688,519.01,7,7239.12,6239.12
261,14.62299253,367.14,10,7239.12,6239.12
262,8.937060483,331.06,11,7239.12,6239.12
263,15.18042028,529.73,9,7239.12,6239.12
264,32.72030293,349.96,9,7239.12,6239.12
265,12.37287435,445.62,10,7239.12,6239.12
266,15.48555356,479.22,7,7239.12,6239.12
267,52.5256352,623.91,8,7239.12,6239.12
268,14.25032715,539.04,9,7239.12,6239.12
269,23.24793739,380.7,10,7239.12,6239.12
270,15.23830133,627.13,10,7239.12,6239.12
271,50.58590924,524.5,12,7239.12,6239.12
272,13.69791594,391.47,11,7239.12,6239.12
273,9.984573363,363.12,7,7239.12,6239.12
274,26.00429316,437.96,8,7239.12,6239.12
275,14.49330301,341.36,9,7239.12,6239.12
276,11.39055322,364.81,10,7239.12,6239.12
277,12.30401592,523.67,8,7239.12,6239.12
278,52.11096148,684.91,11,7239.12,6239.12
279,12.29885423,347.68,8,7239.12,6239.12
280,17.44317835,514.04,9,7239.12,6239.12
281,42.08904968,470,10,7239.12,6239.12
282,20.423182,390.12,8,7239.12,6239.12
283,19.05901727,270.12,8,7239.12,6239.12
